id,name,class,city,origin,updated_at,created_at
840,707 Headband,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1408989652,1417524011
433,9 LB Hammer,class-indica,"Seattle, Washington","47.6129432,-122.4821475",1408989497,1417519195
188,Abusive OG,class-indica,,,1361781229,1491565009
432,Acapulco Gold,class-sativa,"Acapulco, Mexico","16.8356128,-99.9323491",1408989496,1417519175
22,Ace of Spades,class-indica,"Seattle, Washington","47.6129432,-122.4821475",1361781199,1491564954
151,Afghan Goo,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1361781215,1491563361
355,Afghan Haze,class-hybrid,"Kabul, Afghanistan","34.5539097,69.057646",1361786054,1417521091
69,Afghan Kush,class-indica,,,1361781201,1417514594
977,Afghan Skunk,class-indica,,,1408989700,1491566630
284,Afgooey,class-indica,,,1361781753,1417522438
270,Afwreck,class-hybrid,,,1361781543,1417517801
295,Agent Orange,class-hybrid,,,1361781924,1417524041
879,AK-47,class-sativa,,,1408989668,1417516563
7,AK-48,class-indica,,,1361781198,1491565834
388,Alaskan Thunderfuck,class-hybrid,,,1408989474,1417518372
96,Albert Walker,class-hybrid,"Seattle, Washington","47.6129432,-122.4821475",1361781204,1417521883
60,Alien OG,class-hybrid,,,1361781201,1491566813
142,Amnesia Haze,class-sativa,,,1361781213,1491564291
101,Apollo 13,class-indica,,,1361781204,1491561581
825,Atomic Northern Lights,class-indica,"Eureka, California","40.782124,-124.158391",1408989647,1417523910
57,Atomical Haze,class-hybrid,,,1361781201,1491565099
91,Banana Kush,class-indica,,,1361781203,1491563306
603,Berry White,class-hybrid,"Seattle, Washington","47.6129432,-122.4821475",1408989561,1491564107
793,Big Bud,class-indica,,,1408989635,1491561265
585,Big Wreck,class-hybrid,,,1408989554,1417521283
55,Bio Diesel,class-hybrid,,,1361781201,1491563718
23,Black Beauty,class-indica,"Eureka, California","40.782124,-124.158391",1361781199,1491564644
424,Black Cherry Soda,class-sativa,"Seattle, Washington","47.6129432,-122.4821475",1408989494,1417519075
407,Black Diamond,class-hybrid,,,1408989489,1417518924
802,Black Domina,class-hybrid,,,1408989638,1446030732
111,Black Jack,class-hybrid,,,1361781206,1491559280
396,Black Widow,class-indica,,,1408989485,1417518754
916,Blackberry,class-indica,,,1408989682,1417517137
289,Blackberry Kush,class-indica,,,1361781815,1491564663
228,Blockhead,class-indica,,,1361781284,1491563625
58,Blue Cheese,class-indica,"Amsterdam, Netherlands","52.3710755,4.8723518",1361781201,1491562747
11,Blue Diesel,class-sativa,"Eureka, California","40.782124,-124.158391",1361781198,1491561599
155,Blue Dragon,class-hybrid,,,1361781217,1491561784
425,Blue Dream,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1408989495,1491566020
886,Blue Hawaiian,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1408989671,1417516693
546,Blue Moonshine,class-sativa,"Eureka, California","40.782124,-124.158391",1408989534,1417520528
87,Blue Sky,class-sativa,"Eureka, California","40.782124,-124.158391",1361781203,1491563756
264,Blue Widow,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1361781521,1417515057
152,Blueberry,class-hybrid,,,1361781215,1491564051
269,Blueberry Haze,class-hybrid,,,1361781538,1417516956
63,Blueberry Kush,class-hybrid,,,1361781201,1491561970
373,Blueberry Skunk,class-hybrid,,,1373599554,1464267236
635,Bob Marley,class-sativa,,,1408989573,1417521862
322,Bruce Banner,class-hybrid,,,1361783004,1408989500
975,Bubba Kush,class-indica,,,1408989699,1417524081
8,Bubba OG,class-hybrid,,,1361781198,1491564863
184,Bubble Gum,class-hybrid,,,1361781227,1491565190
423,Bubbleberry,class-hybrid,,,1408989494,1417519065
791,Buddha’s Sister,class-hybrid,"Amsterdam, Netherlands","52.3710755,4.8723518",1408989634,1491562766
553,Bullrider,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1408989536,1491564844
46,Burmese Kush,class-hybrid,,,1361781200,1491566482
974,Cannalope Haze,class-sativa,"Amsterdam, Netherlands","52.3710755,4.8723518",1408989699,1417524071
274,Casey Jones,class-sativa,,,1361781585,1417522135
463,Cataract Kush,class-indica,,,1408989506,1455534700
745,Caveman Kush,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1408989618,1470480345
416,Champagne Kush,class-hybrid,,,1408989492,1417518974
